OrderID,OrderDate,Region,Salesperson,Product,Category,Units,UnitPrice
1023,2025-01-24,North,RAVI KUMAR,Office Chair,Furniture,11,6500
1134,2025-03-29,North,Ananya Rao,Bookshelf,Furniture,2,4200
1115,2025-03-18,West,Rohan Shah,Notebook Set,Stationery,12,350
1077,2025-06-08,South,Divya Sharma,Office Chair,Furniture,3,6500
1009,2025-06-04,East,Sneha Das,Bookshelf,Furniture,9,4200
1118,2025-06-21,  West  ,Priya Mehta,Bookshelf,furniture,3,4200
1149,2025-01-31,South,Karthik Iyer,Wireless Mouse,Electronics,12,799
1158,2025-05-28,North,Ravi Kumar,Office Chair,Furniture,10,6500
1111,2025-04-09,South,DIVYA SHARMA,Wireless Mouse,Electronics,7,799
1151,2025-05-04,East,Amit Ghosh,Wireless Mouse,Electronics,4,799
1091,2025-03-18,  East  ,Amit Ghosh,Gel Pen Pack,Stationery,7,120
1033,2025-05-17,South,Divya Sharma,Bookshelf,Furniture,9,4200
1036,2025-06-16,East,Amit Ghosh,Notebook Set,Stationery,8,350
1027,2025-03-17,West,Priya Mehta,Bookshelf,furniture,1,4200
1171,2025-06-26,East,Amit Ghosh, A4 Paper Ream ,Stationery,9,250
1052,2025-03-15,West,Rohan Shah, Office Chair ,Furniture,4,6500
1129,2025-01-30,South,Karthik Iyer,Wireless Mouse,Electronics,10,799
1166,2025-03-15,East,AMIT GHOSH,Wireless Mouse,Electronics,11,799
1060,2025-03-22,South,Karthik Iyer,27in Monitor,Electronics,3,18500
1148,2025-04-27,East,Amit Ghosh,A4 Paper Ream,Stationery,4,250
1153,2025-01-04,South,Karthik Iyer,Laptop Pro 14,Electronics,1,68000
1156,2025-03-29,South,Divya Sharma,A4 Paper Ream,Stationery,8,250
1056,2025-01-21,South,DIVYA SHARMA,Bluetooth Speaker,Electronics,2,2999
1165,2025-04-26,West,Rohan Shah,Laptop Pro 14,Electronics,4,68000
1047,2025-03-13,West,Priya Mehta,Wireless Mouse,Electronics,,799
1012,2025-06-19,South,KARTHIK IYER,Wireless Mouse,Electronics,4,799
1067,2025-01-28,South,KARTHIK IYER,A4 Paper Ream,Stationery,10,250
1094,2025-03-19,West,Priya Mehta,A4 Paper Ream,Stationery,5,250
1066,2025-06-19,North,Ravi Kumar,A4 Paper Ream,stationery,2,250
1079,2025-06-21,South,Karthik Iyer,Office Chair,furniture,12,6500
1048,2025-05-21,North,Ravi Kumar,Notebook Set,Stationery,1,350
1126,2025-02-21,North,Ravi Kumar,Standing Desk,Furniture,3,15500
1073,2025-02-08,  North  ,Ananya Rao,Bluetooth Speaker,Electronics,9,2999
1011,2025-06-10,East,Sneha Das,Wireless Mouse,Electronics,1,799
1029,2025-05-10,South,Divya Sharma,Gel Pen Pack,Stationery,3,120
1116,2025-05-20,South,Karthik Iyer,Standing Desk,Furniture,,15500
1007,2025-03-13,South,Divya Sharma,Gel Pen Pack,Stationery,2,120
1028,2025-03-09,  South  ,Divya Sharma,A4 Paper Ream,Stationery,11,250
1072,2025-04-20,North,Ravi Kumar,Wireless Mouse,Electronics,12,799
1015,2025-06-21,East,Sneha Das,Bluetooth Speaker,Electronics,11,2999
